"13 km W   of Valleyfield, QC",2014-12-29,2.3,45.27,74.3
"211 km W   of Port Hardy, BC",2014-12-22,4.3,50.73,130.5
"181 km W   of Port Hardy, BC",2014-12-21,4.3,50.99,130.0
"192 km WSW of Bella Bella, BC",2014-12-21,4.5,51.03,130.2
"182 km W   of Port Hardy, BC",2014-12-21,4.0,50.99,130.0
"212 km W   of Port Hardy, BC",2014-12-21,4.9,50.79,130.5
"206 km W   of Port Hardy, BC",2014-12-20,5.0,50.76,130.4
"161 km WSW of Bella Bella, BC",2014-12-20,4.3,51.12,129.7
"17 km W   of Sechelt, BC",2014-12-11,3.2,49.45,123.9
"33 km E   of Nelson, BC",2014-11-19,2.8,49.45,116.8
"44 km NW  of Hawkesbury, ON",2014-11-16,2.6,45.89,75.02
"124 km NNW of Polaris, NU",2014-11-08,4.7,76.51,97.12
"69 km WSW of Skagway, AK",2014-11-05,4.4,59.17,136.3
"13 km SE  of Sainte-Agathe, QC",2014-10-29,2.5,45.95,74.19
"1 km W   of Banff, AB",2014-10-16,3.1,51.17,115.5
"182 km SW  of Port Alice, BC",2014-10-12,3.7,49.11,129.0
"63 km SSW of Village of Queen Charlotte, BC",2014-09-27,4.5,52.7 ,132.3
"19 km ENE of Les Escoumins, QC",2014-09-22,3.3,48.43,69.16
"76 km NE  of Keno, YT",2014-09-19,4.1,64.5 ,134.4
"19 km E   of Saint Andrews, NB",2014-09-17,2.6,45.06,66.82
"163 km ENE of Tulita, NT",2014-08-29,5.0,65.6 ,122.5
"208 km W   of Port Hardy, BC",2014-08-12,4.2,50.55,130.4
"31 km WSW of Rocky Mountain House, AB",2014-08-09,4.1,52.17,115.2
"7 km NW  of Lively, ON",2014-08-05,3.8,46.48,81.19
"139 km S   of Fort Nelson, BC",2014-08-04,4.3,57.56,122.9
"15 km ENE of Baie-Saint-Paul, QC  ",2014-08-02,3.0,47.51,70.31
"142 km S   of Fort Nelson, BC",2014-07-30,3.9,57.53,122.8
"13 km SSW of Pembroke, ON",2014-07-27,2.7,45.7 ,77.15
"139 km W   of Juneau, AK",2014-07-25,4.0,58.34,136.8
"133 km W   of Juneau, AK",2014-07-25,4.2,58.51,136.6
"180 km SE  of Yakutat, AK",2014-07-25,4.4,58.27,137.8
"147 km W   of Juneau, AK",2014-07-25,6.2,58.26,136.9
"89 km NW  of Yakutat, AK",2014-07-21,3.8,60.31,140.3
"88 km NW  of Yakutat, AK",2014-07-19,4.7,60.3 ,140.3
"90 km NW  of Yakutat, AK",2014-07-17,6.0,60.32,140.3
"73 km NNE of Tungsten, NT",2014-07-15,5.0,62.6 ,127.9
"75 km NNE of Tungsten, NT",2014-07-15,5.0,62.62,127.9
"72 km W   of Burwash Landing, YT",2014-07-12,4.5,61.15,140.2
"10 km NE  of Victoria, BC",2014-06-16,2.4,48.51,123.2
"70 km W   of Burwash Landing, YT",2014-06-04,5.2,61.15,140.2
"70 km W   of Burwash Landing, YT",2014-06-04,4.9,61.16,140.2
"94 km WSW of Skagway, AK",2014-06-04,5.7,59 No,136.6
"30 km SSE of Baie-Comeau, QC",2014-05-26,3.7,48.96,68.02
"78 km WNW of Skagway, AK",2014-05-09,4.0,59.8 ,136.6
"55 km S   of Village of Queen Charlotte, BC",2014-04-24,4.2,52.76,132.1
"85 km SSW of Port Alice, BC",2014-04-23,6.6,49.64,127.7
"offshore Vancouver Island, BC",2014-04-05,4.1,50.08,130.1
"222 km SW  of Port Alice, BC",2014-03-31,4.7,48.93,129.5
"116 km SW  of Wrigley, NT",2014-03-31,4.6,62.3 ,124.5
"96 km SSE of Village of Queen Charlotte, BC",2014-03-26,4.6,52.41,131.7
"7 km W of Hudson, QC",2014-03-25,2.7,45.43,74.2
"240 km NW  of Tuktoyaktuk, NT",2014-03-23,4.9,71.57,133.7
"236 km W   of Baillie, NT",2014-03-23,4.8,71.57,133.7
"257 km ENE of Pond Inlet, NU",2014-03-11,4.9,74.49,72.78
"50 km W   of Haines Junction, YT",2014-02-25,4.2,60.91,138.3
"116 km ESE of Pond Inlet, NU",2014-02-22,4.0,71.88,75.86
"189 km W   of Port Hardy, BC",2014-02-15,4.1,50.46,130.1
"40 km SW  of Cobourg, ON",2014-02-12,3.1,43.64,78.39
"58 km SSW of Queen Charlotte City, BC",2014-02-09,3.9,52.74,132.2
"43 km ESE of Valleyfield, QC",2014-02-07,3.1,45.08,73.64
