"8 km WSW of La Malbaie, QC ",2020-12-28,3.4,47.61,70.24
"196 km W   of Port Hardy, BC",2020-12-25,4.5,50.51,130.2
"123 km SW  of Fort McPherson, NT",2020-12-21,4.5,66.39,135.7
"6 km W   of Val-d'Or, QC",2020-12-20,3.0,48.09,77.87
"3 km ESE of Baie-Saint-Paul, QC",2020-12-14,2.1,47.44,70.46
"11 km NW  of Saint Andrews, NB",2020-12-09,2.9,45.16,67.15
"10 km NW  of Saint Andrews, NB",2020-12-09,2.7,45.15,67.15
"4 km ENE of Makkovik, NL",2020-11-26,3.5,55.11,59.14
"6 km ENE of Makkovik, NL",2020-11-26,3.7,55.11,59.1
"173 km S of Resolute, NU",2020-11-22,5.3,73.17,95.71
"10 km ENE of Victoria, BC",2020-11-20,2.4,48.49,123.2
"15 km W   of Village of Queen Charlotte, BC ",2020-11-18,4.0,53.23,132.3
"117 km W   of Wrigley, NT",2020-11-17,4.0,63.47,125.9
"223 km WSW of Bella Bella, BC",2020-11-10,4.2,51.32,131.0
"6 km ENE of Makkovik, NL",2020-11-04,4.7,55.11,59.1
"17 km E   of Makkovik, NL",2020-11-04,4.5,55.12,58.92
"32 km WNW of Malartic, QC",2020-10-30,3.6,48.26,78.53
"5 km NE  of Port Clements, BC",2020-10-27,3.0,53.72,132.1
"125 km SW  of Wrigley, NT",2020-10-24,3.9,62.21,124.4
"125 km SW  of Wrigley, NT",2020-10-24,4.5,62.2 ,124.4
"132 km ESE of Resolute, NU",2020-10-22,4.4,73.91,91.51
"139 km NW of Nahanni Butte, NT",2020-10-18,4.7,62.12,124.7
"194 km W of Port Hardy, BC",2020-10-16,4.1,50.99,130.7
"22 km N   of Kapuskasing, ON",2020-10-14,3.6,49.62,82.41
"104 km S of Wrigley, NT",2020-10-14,4.3,62.39,124.3
"29 km WNW of Riviere-du-Loup, QC",2020-09-12,2.7,47.99,69.85
"7 km ESE of Baie-Saint-Paul, QC",2020-09-11,2.0,47.42,70.41
"81 km WNW of Skagway, AK",2020-08-22,4.0,59.8 ,136.6
"27 km SW  of Amherstburg, ON",2020-08-21,3.6,41.91,83.31
"124 km W   of Port Hardy, BC",2020-08-19,4.0,50.81,129.2
"33 km ENE of Saint-Jerome, QC",2020-08-19,2.6,45.97,73.66
"11 km WSW of La Malbaie, QC",2020-08-14,3.5,47.6 ,70.29
"140 km SW  of Wrigley, NT",2020-08-12,4.5,62.13,124.7
"5 km NNE of Havre-Saint-Pierre, QC",2020-08-10,2.9,50.28,63.57
"2 km N   of Pembroke, ON",2020-08-09,3.0,45.84,77.12
"10 km SW  of Pembroke, ON",2020-08-08,2.9,45.74,77.19
"34 km WNW of Malartic, QC",2020-07-25,3.3,48.31,78.52
"136 km SW  of Wrigley, NT",2020-07-24,5.3,62.16,124.7
"220 km SW  of Port Alice, BC",2020-07-22,5.1,48.84,129.3
"13 km WNW of Saint-Jean-Port-Joli, QC",2020-06-30,2.8,47.26,70.43
"31 km SE  of High Prairie, AB",2020-06-08,4.0,55.2 ,116.2
"81 km ENE of Keno, YT",2020-06-02,3.5,64.5 ,134.3
"148 km SSW of Fort McPherson, NT",2020-05-22,3.9,66.11,135.1
"129 km W   of Port Alice, BC",2020-05-22,4.9,50.36,129.2
"112 km SSW of Port Alice, BC",2020-05-09,4.5,49.4 ,127.8
"55 km NW  of Mont-Laurier, QC",2020-05-09,4.3,46.92,75.99
"55 km NW  of Mont-Laurier, QC ",2020-05-09,4.3,46.92,75.99
"41 km SSW of Granby, QC",2020-05-06,3.7,45.05,72.92
"12 km ENE of Sudbury, ON",2020-04-24,3.0,46.54,80.85
"13 km WSW of Sudbury, ON",2020-04-23,3.6,46.46,81.17
"87 km E   of Pond Inlet, NU",2020-04-20,4.0,72.29,75.75
"44 km E   of Haileybury, ON",2020-04-01,2.9,47.55,79.06
"35 km WSW of Sorel-Tracy, QC ",2020-03-29,3.6,45.85,73.49
"71 km NE  of Dawson, YT",2020-03-28,4.4,64.64,138.7
"11 km N   of Victoria, BC",2020-03-28,1.9,48.54,123.3
"80 km NW  of Mackenzie, ON",2020-03-07,1.9,49.17,89.63
"15 km NE  of Montreal, QC",2020-03-06,3.3,45.62,73.51
"8 km N of Bathurst, NB",2020-03-05,2.3,47.7 ,65.62
"Blast - 9 km ENE of Halifax, NS",2020-03-03,2.0,44.71,63.51
"7 km ENE of Halifax, NS",2020-03-03,2.6,44.68,63.51
"179 km W   of Port Hardy, BC",2020-03-02,4.2,50.59,130.0
"5 km ENE of Halifax, NS",2020-03-01,2.6,44.67,63.53
"86 km ESE of Pond Inlet, NU",2020-02-29,3.9,72.24,75.9
"64 km ESE of Carmacks, YT",2020-02-22,4.1,61.82,135.2
"10 km WSW of Sainte-Agathe, QC",2020-02-22,2.9,45.99,74.39
"223 km SSE of Village of Queen Charlotte, BC",2020-02-14,4.7,51.29,131.3
"41 km W   of Port Clements, BC",2020-02-13,3.7,53.75,132.8
"83 km NW  of Watson Lake, YT",2020-02-09,4.5,60.68,129.5
"68 km NNE of Burwash Landing, YT",2020-02-07,4.1,61.96,138.7
"22 km WSW of L'Annonciation, QC",2020-02-07,3.0,46.31,75.12
"17 km E   of Postville, NL",2020-02-03,4.3,54.88,59.51
"19 km WNW of Maniwaki, QC",2020-02-02,3.1,46.5 ,76.15
"15 km ENE of Chilliwack, BC",2020-01-25,1.9,49.26,121.7
"29 km SSW of Bamfield, BC",2020-01-24,4.5,48.57,125.1
"72 km W   of Skagway, AK",2020-01-20,4.0,59.75,136.5
"18 km SE of Huntingdon, QC",2020-01-17,2.6,45.01,73.96
"18 km SE of Huntingdon, QC",2020-01-14,2.6,45 No,73.97
"19 km SE of Huntingdon, QC",2020-01-13,4.0,44.99,73.97
offshore Vancouver Island,2020-01-08,4.8,50.63,130.5
"115 km W   of Taloyoak, NU",2020-01-06,3.7,69.92,96.31
"166 km ESE of Yakutat, AK",2020-01-02,4.2,58.46,137.7
