"30 km SE  of Haines Junction, YT",2011-12-29,3.3,60.5 ,137.3
"13 km SW  of La Malbaie, QC",2011-11-29,3.4,47.55,70.25
"187 km W   of Port Hardy, BC",2011-11-23,4.5,50.4 ,130.1
"9 km NW  of Omak, WA",2011-11-18,4.3,48.47,119.6
"14 km NNW of La Pocatiere, QC",2011-10-26,2.7,47.5 ,70.06
"0 km WNW of Quebec, QC",2011-10-26,2.7,46.82,71.24
"25 km NNW of Hawkesbury, ON",2011-10-21,2.8,45.82,74.7
"17 km ESE of Laurent-Val, QC",2011-10-20,3.4,50.16,65.85
"109 km NNE of Dawson, YT",2011-10-13,4.5,65.03,139.0
"239 km W   of Port Hardy, BC",2011-10-09,4.3,50.7 ,130.9
"99 km NNW of Mingan, QC",2011-10-02,3.9,51.16,64.43
"130 km W   of Wrigley, NT",2011-09-25,5.6,63.4 ,126.2
"16 km E   of Buckingham, QC",2011-09-18,4.1,45.58,75.21
"91 km WSW of Gold River, BC",2011-09-15,4.1,49.4 ,127.3
"123 km E   of Yakutat, AK",2011-09-14,4.7,59.2 ,137.7
"25 km NE  of Saint-Jerome, QC",2011-09-10,2.4,45.96,73.79
"91 km WSW of Gold River, BC",2011-09-09,6.3,49.34,127.2
"29 km SSW of Montmagny, QC",2011-08-27,3.6,46.73,70.67
"46 km SE  of Cornwall, ON",2011-08-24,3.5,44.7 ,74.37
"330 km SE  of Pittsburgh, PA",2011-08-23,5.8,37.93,77.93
"6 km N   of Lively, ON",2011-08-20,3.3,46.49,81.15
"213 km WSW of Bella Bella, BC",2011-08-18,4.6,51.42,131.0
"22 km SSE of Gold River, BC",2011-08-16,3.2,49.49,126.0
"87 km NNW of Tuktoyaktuk, NT",2011-08-15,4.7,70.23,133.3
"49 km NNE of Langley, BC",2011-08-11,3.3,49.52,122.4
"26 km WNW of Malartic, QC",2011-08-09,3.5,48.25,78.44
"57 km ESE of Dawson, YT",2011-08-03,4.0,63.7 ,138.6
"16 km ESE of Beaver Creek, YT",2011-08-02,4.5,62.3 ,140.6
"102 km SW  of Wrigley, NT",2011-07-30,4.3,62.4 ,124.3
"205 km SSE of Queen Charlotte City, BC",2011-07-29,4.0,51.49,131.2
"30 km N   of Resolution Island, NU",2011-07-25,4.2,61.57,64.92
"19 km WNW of Wakefield, QC",2011-07-21,3.5,45.74,76.14
"310 km E   of Killiniq, QC",2011-07-06,4.1,60.82,59.21
"26 km S   of Granby, QC",2011-06-22,3.2,45.16,72.75
"141 km S   of Fort McPherson, NT",2011-06-17,4.1,66.17,135.0
"172 km SSE of Queen Charlotte City, BC",2011-06-16,4.6,51.72,131.7
"21 km WSW of Les Escoumins, QC",2011-06-16,3.8,48.29,69.67
"81 km SSW of Queen Charlotte City, BC",2011-06-03,4.3,52.53,132.2
"77 km NNE of Fort Nelson, BC",2011-05-19,4.0,59.48,122.3
"15 km N   of Princeton, BC",2011-05-18,3.3,49.6 ,120.5
"111 km SSE of Queen Charlotte City, BC",2011-05-15,4.5,52.3 ,131.6
"36 km SW  of L'Annonciation, QC",2011-05-09,3.1,46.18,75.19
"191 km E   of Keno, YT",2011-04-21,4.9,63.88,131.3
"15 km ESE of Invermere, BC",2011-04-09,3.0,50.43,115.8
"66 km NE  of Deep River, ON",2011-03-29,3.5,46.56,76.95
"119 km SW  of Port Alice, BC",2011-03-19,3.8,49.6 ,128.6
"5 km ESE of Hawkesbury, ON",2011-03-16,4.3,45.58,74.55
"84 km W   of Burwash Landing, YT",2011-02-26,4.2,61.6 ,140.5
"14 km ENE of Leamington, ON",2011-02-23,3.0,42.16,82.43
"19 km ENE of Duncan, BC",2011-02-15,2.9,48.9 ,123.5
"21 km ENE of Victoria, BC",2011-02-08,3.2,48.55,123.1
"12 km WSW of Skagway, AK",2011-01-08,4.1,59.44,135.4
